,Content
0,تجي روم
1,مزالكم حيين
2,wesh asmek f brawl stars
3,لا
4,MANDY'S CANDY 🥵
5,Ch7al mn trophy?
6,فقمه
7,<@855352776611594261> دك نقولك مياووو
8,لازم user
9,بلع
10,جات بقرتي الثانية
11,Ch7al 3ndek trophys
12,شكون لاولة ؟
13,15k
14,نن أنا قطوتك 😾
15,مارح أقولك مياو
16,D3if
17,Ana 21k
18,لي تنتج حليب كثر فيكم تولي بقرتي رقم #1  <:DK_Expand_Dong:1150410899581050950>
19,انا 12k <a:7peplick:1068529865415987251>
20,Chkon yl3b 1 vs 1
21,Broke
22,My main acc was 24 but get hacked by a Russian hacker <:uncannycat:1152013915954352148>
23,My acc was 34k
24,I forgot the pass
25,يجب أن تفجرني أول شئ
26,<:RTN_Floppa:1146234767050817687>
27,كاش نهار نديرو فيها روم قاع كيما رانا <:Pikachu:1150411411537793054>
28,عادي لا تحزن
29,شيت فاينالي دخلنا🗿
30,Ab3toli li 7ab yl3b room
31,How
32,Kifah darlek
33,~قديس سيف
34,1vs99+
35,تعالى روم 🙂
36,Broke
37,Ab3t prv
38,Dm meeee
39,لحظة سأتصل بصديقي أوباما بن لادن
40,wela edekhlou l chill1
41,<@1289551138273759265>
42,صدقني انا و معلاباليش
43,💀💀💀
44,ياخو🗿
45,أرجوك سوف يرسل لنا مزيد منهم 💀
46,هكر مقود فري مخليتلوش حتى ثغره و حبيبنا بدل الجيميل نورمال و دار جيميل مؤقت 🗿
47,Tnakt
48,7lib ifroiiiii
49,نن
50,<@1180615622145622117>  تجي شيل 1 ?
51,متاحات؟
52,ديربي لفيمبويز
53,وتف ؟
54,😂😂
55,ارواح شيل 1 نقصرو شوي <:Pog:1150411414243131504>
56,هيههه
57,متاحات صيد انستا هوتميل.....
58,يزبي راهي لوحدة ندخل فويس يزدم عليا لوالد تتناك ديريكت
59,ديجا راني نعسان ASF
60,Ok GN bb
61,❤️
62,شيت راهي لوحدة🗿
63,اييوه لعطاي كشغل دار كيما هوما مي فتطبيق تخلص دراهم بأش يعطيك ايميل مؤقت
64,"Keep making milk for daddy 
<@1287875358493904957> <@1180615622145622117>"
65,<:2f21940ee0948af25337e339d4899c36:1255179120078487615>
66,رباني دروك واحد لقا كونت فيه تثبيت و200 ك ابوني
67,skoune li hab ndirlou 1v1
68,Donne <@1218531500916477992>
69,<@1266554797704744963> محاولة اغتصاب استاذة🗿😂
